produto;marca_raw;estado;familia_v2;sku_v2;confianca;metodo;motivo;candidatos;atributos
Ar Condicionado Elgin Eco Dream 24.000 BTUs On/Off Quente/Frio;Elgin;MAPEADO;ELGIN-ECO-DREAM-24000-QF;;baixa;tec_conflito;"título On/Off; catálogo curado é inverter-only";45HIQI24C2WA;"{""marca"": ""Elgin"", ""capacidade_btu"": 24000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""On/Off"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Elgin Eco Inverter II 18.000 BTUs Inverter Quente/Frio;Elgin;MAPEADO;ELGIN-ECO-INVERTER-II-18000-QF;45HJQI18C2WC;alta;familia_linha_unica;1 SKU na família-linha;45HJQI18C2WC;"{""marca"": ""Elgin"", ""capacidade_btu"": 18000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": ""Eco Inverter"", ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Elgin Eco Inverter II 24.000 BTUs Inverter Quente/Frio;Elgin;MAPEADO;ELGIN-ECO-INVERTER-II-24000-QF;HJQI24C2WB;alta;familia_linha_unica;1 SKU na família-linha;HJQI24C2WB;"{""marca"": ""Elgin"", ""capacidade_btu"": 24000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": ""Eco Inverter"", ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Elgin Eco Inverter II 9.000 BTUs Inverter Frio;Elgin;MAPEADO;ELGIN-ECO-INVERTER-II-9000-F;;ambigua;ambiguo_multi_sku;"2 SKUs na família; voltagem não desempata";45HJFI09C2WB|HJFI09C2WC;"{""marca"": ""Elgin"", ""capacidade_btu"": 9000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": ""Eco Inverter"", ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Elgin Eco Inverter II 9.000btu wi-fi Frio;Elgin;MAPEADO;ELGIN-ECO-INVERTER-II-9000-F;;ambigua;ambiguo_multi_sku;"2 SKUs na família; voltagem não desempata";45HJFI09C2WB|HJFI09C2WC;"{""marca"": ""Elgin"", ""capacidade_btu"": 9000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": ""Eco Inverter"", ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Elgin Eco Inverter II 9.000 BTUs Inverter Quente/Frio;Elgin;MAPEADO;ELGIN-ECO-INVERTER-II-9000-QF;;ambigua;ambiguo_multi_sku;"2 SKUs na família; voltagem não desempata";HJQI09C2WB|HJQI09C2WC;"{""marca"": ""Elgin"", ""capacidade_btu"": 9000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": ""Eco Inverter"", ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree 12.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-12000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 12000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree 12.000 BTUs Inverter Frio Preto;Gree;MAPEADO;GREE-12000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 12000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": ""Preto"", ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree 12.000 BTUs On/Off Frio;Gree;MAPEADO;GREE-12000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 12000, ""ciclo"": ""Frio"", ""tecnologia"": ""On/Off"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Clima 12.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-12000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 12000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar-condicionado Split 12.000BTUs Gree Inverter Frio GWC12ATBXA-D6DNA1A;Gree;MAPEADO;GREE-12000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 12000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW"", ""sku_no_titulo"": ""GWC12ATBXA-D6DNA1A""}"
Ar Condicionado Gree 12.000 BTUs Inverter Quente/Frio;Gree;MAPEADO;GREE-12000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 12000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Diamond 12.000 BTUs Inverter Quente/Frio;Gree;MAPEADO;GREE-12000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 12000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar-Condicionado Split Hi Wall Inverter Gree G-Side 12.000BTU/h Quente e Frio 220v GWH12ATCXB-D6DNA3C/I Branco;Gree;MAPEADO;GREE-12000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 12000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": ""220V"", ""cor"": null, ""form_factor"": ""HW"", ""sku_no_titulo"": null}"
Ar Condicionado Gree 18.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-18000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 18000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree 18.000 BTUs Inverter Frio Preto;Gree;MAPEADO;GREE-18000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 18000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": ""Preto"", ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Clima 18.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-18000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 18000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar-condicionado Split 18.000BTUs Gree Inverter Frio GWC18ATDXB-D6DNA1A;Gree;MAPEADO;GREE-18000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 18000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW"", ""sku_no_titulo"": ""GWC18ATDXB-D6DNA1A""}"
Ar Condicionado Gree 18.000 BTUs Inverter Quente/Frio;Gree;MAPEADO;GREE-18000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 18000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Diamond 18.000 BTUs Inverter Quente/Frio;Gree;MAPEADO;GREE-18000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 18000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Diamond 18.000 BTUs Inverter Quente/Frio Preto;Gree;MAPEADO;GREE-18000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 18000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": ""Preto"", ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Top Connection 22.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-22000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 22000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": ""G-Top"", ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree 22.000 BTUs Inverter Quente/Frio;Gree;MAPEADO;GREE-22000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 22000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree 24.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-24000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 24000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Clima 24.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-24000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 24000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Diamond 24.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-24000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 24000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Diamond 24.000 BTUs Inverter Frio Preto;Gree;MAPEADO;GREE-24000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 24000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": ""Preto"", ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar-condicionado Split 24.000BTUs Gree Inverter Frio GWC24ATDXE-S6DNA1A;Gree;MAPEADO;GREE-24000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 24000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW"", ""sku_no_titulo"": ""GWC24ATDXE-S6DNA1A""}"
Ar Condicionado Gree 24.000 BTUs Inverter Quente/Frio;Gree;MAPEADO;GREE-24000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 24000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Diamond 24.000 BTUs Inverter Quente/Frio;Gree;MAPEADO;GREE-24000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 24000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar-condicionado Split Gree Inverter 24.000BTUs Quente e Frio GWH24ATD-D6DNA2A;Gree;MAPEADO;GREE-24000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 24000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW"", ""sku_no_titulo"": ""GWH24ATD-D6DNA2A""}"
Ar Condicionado Gree 27.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-27000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": null, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Clima 27.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-27000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": null, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree 27.000 BTUs Inverter Quente/Frio;Gree;MAPEADO;GREE-27000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": null, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree 30.000 BTUs Inverter Quente/Frio;Gree;MAPEADO;GREE-30000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 30000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree 9.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-9000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 9000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree 9.000 BTUs On/Off Frio;Gree;MAPEADO;GREE-9000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 9000, ""ciclo"": ""Frio"", ""tecnologia"": ""On/Off"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Clima 9.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-9000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 9000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Diamond 9.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-9000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 9000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Diamond 9.000 BTUs Inverter Frio Preto;Gree;MAPEADO;GREE-9000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 9000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": ""Preto"", ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar-condicionado Split 9.000 BTUs Gree Inverter Frio GWC09ATA-D6DNA1AB;Gree;MAPEADO;GREE-9000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 9000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW"", ""sku_no_titulo"": ""GWC09ATA-D6DNA1AB""}"
Ar-condicionado Split 9.000BTUs Gree Inverter Frio GWC09ATA-D6DNA2C;Gree;MAPEADO;GREE-9000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 9000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW"", ""sku_no_titulo"": ""GWC09ATA-D6DNA2C""}"
Ar-condicionado Split 9.000BTUs Gree Inverter Frio GWC09ATAXA-D6DNA1A;Gree;MAPEADO;GREE-9000-F;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 9000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW"", ""sku_no_titulo"": ""GWC09ATAXA-D6DNA1A""}"
Ar Condicionado Gree 9.000 BTUs Inverter Quente/Frio;Gree;MAPEADO;GREE-9000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 9000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Diamond 9.000 BTUs Inverter Quente/Frio;Gree;MAPEADO;GREE-9000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 9000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar-condicionado Split 9.000BTUs Gree Inverter Quente e Frio GWH09ATA-D6DNA2C;Gree;MAPEADO;GREE-9000-QF;;ambigua;familia_sem_sku;linha genérica/sem SKU único no catálogo;;"{""marca"": ""Gree"", ""capacidade_btu"": 9000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW"", ""sku_no_titulo"": ""GWH09ATA-D6DNA2C""}"
Ar Condicionado Gree G-Diamond 12.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-G-DIAMOND-12000-F;GWC12ACC-D6DNA1A;alta;familia_linha_unica;1 SKU na família-linha;GWC12ACC-D6DNA1A;"{""marca"": ""Gree"", ""capacidade_btu"": 12000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Diamond 18.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-G-DIAMOND-18000-F;GWC18ACD-D3DNA1B;alta;familia_linha_unica;1 SKU na família-linha;GWC18ACD-D3DNA1B;"{""marca"": ""Gree"", ""capacidade_btu"": 18000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Diamond 18.000 BTUs Inverter Frio Preto;Gree;MAPEADO;GREE-G-DIAMOND-18000-F;GWC18ACD-D3DNA1B;alta;familia_linha_unica;1 SKU na família-linha;GWC18ACD-D3DNA1B;"{""marca"": ""Gree"", ""capacidade_btu"": 18000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": null, ""voltagem"": null, ""cor"": ""Preto"", ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Top Auto 12.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-G-TOP-12000-F;GWC12ATC-D6DNA1A;alta;familia_linha_unica;1 SKU na família-linha;GWC12ATC-D6DNA1A;"{""marca"": ""Gree"", ""capacidade_btu"": 12000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": ""G-Top"", ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Top Connection 12.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-G-TOP-12000-F;GWC12ATC-D6DNA1A;alta;familia_linha_unica;1 SKU na família-linha;GWC12ATC-D6DNA1A;"{""marca"": ""Gree"", ""capacidade_btu"": 12000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": ""G-Top"", ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Top Auto 12.000 BTUs Inverter Quente/Frio;Gree;MAPEADO;GREE-G-TOP-12000-QF;GWH12AGC;alta;familia_linha_unica;1 SKU na família-linha;GWH12AGC;"{""marca"": ""Gree"", ""capacidade_btu"": 12000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": ""G-Top"", ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Split Hi Wall Inverter Gree G-Top Auto 12000 BTU/h Quente e Frio CB574N09300 220 Volts;Gree;MAPEADO;GREE-G-TOP-12000-QF;GWH12AGC;alta;familia_linha_unica;1 SKU na família-linha;GWH12AGC;"{""marca"": ""Gree"", ""capacidade_btu"": 12000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": ""G-Top"", ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Top Auto 18.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-G-TOP-18000-F;;ambigua;ambiguo_multi_sku;"2 SKUs na família; voltagem não desempata";GWC18AGD|GWC18ATD;"{""marca"": ""Gree"", ""capacidade_btu"": 18000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": ""G-Top"", ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Top Connection 18.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-G-TOP-18000-F;;ambigua;ambiguo_multi_sku;"2 SKUs na família; voltagem não desempata";GWC18AGD|GWC18ATD;"{""marca"": ""Gree"", ""capacidade_btu"": 18000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": ""G-Top"", ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Top Auto 18.000 BTUs Inverter Quente/Frio;Gree;MAPEADO;GREE-G-TOP-18000-QF;;ambigua;ambiguo_multi_sku;"3 SKUs na família; voltagem não desempata";GWH18ACD|GWH18AGD|GWH18ATD;"{""marca"": ""Gree"", ""capacidade_btu"": 18000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": ""G-Top"", ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Top Auto 24.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-G-TOP-24000-F;GWC24ATE;alta;familia_linha_unica;1 SKU na família-linha;GWC24ATE;"{""marca"": ""Gree"", ""capacidade_btu"": 24000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": ""G-Top"", ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Top Auto 24.000 BTUs Inverter Quente/Frio;Gree;MAPEADO;GREE-G-TOP-24000-QF;GWH24ATE;alta;familia_linha_unica;1 SKU na família-linha;GWH24ATE;"{""marca"": ""Gree"", ""capacidade_btu"": 24000, ""ciclo"": ""Quente/Frio"", ""tecnologia"": ""Inverter"", ""edicao"": ""G-Top"", ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Top Auto 30.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-G-TOP-30000-F;GWC30ATE;alta;familia_linha_unica;1 SKU na família-linha;GWC30ATE;"{""marca"": ""Gree"", ""capacidade_btu"": 30000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": ""G-Top"", ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
Ar Condicionado Gree G-Top Connection 30.000 BTUs Inverter Frio;Gree;MAPEADO;GREE-G-TOP-30000-F;GWC30ATE;alta;familia_linha_unica;1 SKU na família-linha;GWC30ATE;"{""marca"": ""Gree"", ""capacidade_btu"": 30000, ""ciclo"": ""Frio"", ""tecnologia"": ""Inverter"", ""edicao"": ""G-Top"", ""voltagem"": null, ""cor"": null, ""form_factor"": ""HW_PRESUMIDO"", ""sku_no_titulo"": null}"
